domain,target,method,evaluation,records,DOI_groups,R2,R2_CI_low,R2_CI_high,MAE,MAE_CI_low,MAE_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high,bias,bias_CI_low,bias_CI_high
Sn-only,Voc,Development-selected policy,Device-level,155,30,-0.1853182172228578,-0.8064758251337779,0.09614302716697236,0.11433986924824842,0.09697849300722367,0.14151706929838614,0.14359385288523885,0.11676695672713792,0.1770366802009601,-0.05319440356750077,-0.09197150047709499,-0.011502127658545755
Sn-only,Voc,Development-selected policy,Publication-balanced,155,30,-0.21371866421117325,-1.106952009357745,0.17790179648381058,0.12467328623982485,0.10093974398768749,0.1502223419863049,0.15483094493561628,0.12387561279653073,0.18389853379944482,-0.06346771604714824,-0.10631639858154927,-0.020732973289266703
Sn-only,Jsc,Development-selected policy,Device-level,155,30,0.22671599727496083,-0.16144401121370291,0.3951609546619455,3.7731705544156946,2.9970525973530275,4.792217333836207,4.938634951852707,3.9993177627523067,6.0913056060139334,-1.4351447997656792,-2.561594796586778,-0.11810747876111778
Sn-only,Jsc,Development-selected policy,Publication-balanced,155,30,0.15872650630969531,-0.22961427461162986,0.3691757677917721,4.5298970086655155,3.379074280210044,5.819765409864619,6.041258769399115,4.667518986982216,7.294235237864379,-1.2573305982239131,-3.0292683232123316,0.5825498009858416
Sn-only,FF,Development-selected policy,Device-level,155,30,0.47560174756627993,0.07067434785245491,0.6301654462748972,7.489244589336346,6.43061911473248,8.96166544265173,9.338947350670495,7.827199398756048,11.283125497976874,-1.0600021693062738,-3.3571189807168387,1.5223967853509148
Sn-only,FF,Development-selected policy,Publication-balanced,155,30,0.42313978743861147,0.08456517835827632,0.5800400027984737,8.45794029503997,6.722440101999045,10.180818770861572,10.618092991566943,8.351959120569227,12.842995596766551,-1.783684750281715,-5.098598343341756,1.679130032881543
Mixed Pb-Sn,PCE,Frozen global,Device-level,98,25,-0.013036840511875258,-0.530439835425667,0.19150458980969334,3.7836488192112565,2.9240141150756833,4.822008462260848,4.674871030702866,3.525965658519321,5.871423560746232,-1.4478591667065148,-2.9819281522393424,-0.08416280927309419
Mixed Pb-Sn,PCE,Frozen global,Publication-balanced,98,25,-0.07542819340883433,-0.7146441594643096,0.20225554821371106,3.838381877222493,2.9700274537825493,4.729951968634236,4.633906634248185,3.597291962913269,5.553072680799238,-2.321479025078958,-3.4593557145077605,-1.0736570328909345
Mixed Pb-Sn,Voc,Frozen global,Device-level,98,25,-0.018954166852521714,-0.3824424812579385,0.21889104375467291,0.10650171365703459,0.07014344831462892,0.14925904309068252,0.153804114120431,0.10357747910841719,0.19853479811722188,0.041634678487141655,0.00035357947835984276,0.08550620358973351
Mixed Pb-Sn,Voc,Frozen global,Publication-balanced,98,25,0.00446583128171929,-0.6605662876449173,0.27370815327041537,0.10253927390310506,0.07200745612025211,0.1404368986489648,0.14596124073301223,0.10301481184545917,0.18421948484681708,0.030099723356338197,-0.01651870928739972,0.07959889838331363
Mixed Pb-Sn,Jsc,Frozen global,Device-level,98,25,-0.09069141315632656,-2.6037975050605344,0.1667995152686398,4.989899573985093,3.8671129587237973,6.4172491442047574,6.272316757486432,4.510996722774522,8.323365907765137,-2.8047886580132024,-4.723997762803269,-0.5278873934855437
Mixed Pb-Sn,Jsc,Frozen global,Publication-balanced,98,25,-0.44112101718404206,-3.2566402803027037,0.058880655544457074,4.962298045034232,3.9424509169860276,6.02247400843989,5.95001163766712,4.661653093681848,7.270450268141722,-3.817893080615322,-5.123650822122476,-2.411148252779518
Mixed Pb-Sn,FF,Frozen global,Device-level,98,25,-0.2083490494053819,-1.0459082966000406,0.14005795240624627,6.801173367062426,5.37062501130563,8.380746681050947,8.332525214035044,6.660413038831007,9.935582813820075,-3.7209236293454566,-6.133831221413569,-1.4728968069332733
Mixed Pb-Sn,FF,Frozen global,Publication-balanced,98,25,-0.48880954568986335,-1.580652774923668,0.09603595393425018,7.345665018311634,5.7863686410480515,8.9526484299767,8.863379746181293,7.051157267689065,10.467719276368417,-5.072892577502789,-7.390158711630845,-2.5703809226704917
Mixed Pb-Sn,PCE,Subgroup calibrator,Device-level,98,25,-0.013036840511875258,-0.5537202462187334,0.16889962384456753,3.7836488192112565,2.9062974194855524,4.809162518736519,4.674871030702866,3.5509588043566103,5.852780959322323,-1.4478591667065148,-2.9151411334219093,-0.06680453776121487
