stratum,domain,target,method,records,DOI_groups,R2,MAE,RMSE,bias,inferential_status
Feature OOD <=95th percentile,Sn-only,Voc,Domain expert,76,13,-0.26695484144507153,0.16138669627355925,0.18929653742542235,-0.04469190796428667,descriptive only
Feature OOD <=95th percentile,Sn-only,Jsc,Domain expert,76,13,0.1488277094844639,4.3844639754083214,5.421926630827911,-0.17880203429864888,descriptive only
Feature OOD <=95th percentile,Sn-only,FF,Domain expert,76,13,0.41657315047353194,8.816049383168455,11.96985963724263,-0.11130356140247982,descriptive only
Feature OOD <=95th percentile,Sn-only,PCE,Convex mixture,76,13,0.1978076581748428,2.037543479264639,2.4151505116031977,-0.7286883039613007,descriptive only
Feature OOD <=95th percentile,Sn-only,Voc,Convex mixture,76,13,-0.3665464702616863,0.1633829828170344,0.19659583131125855,-0.0495546812061083,descriptive only
Feature OOD <=95th percentile,Sn-only,Jsc,Convex mixture,76,13,0.32357844102110356,3.6023279430593647,4.833409802007651,-0.14426013967305845,descriptive only
Feature OOD <=95th percentile,Sn-only,FF,Convex mixture,76,13,0.5050524849656752,7.83929546712702,11.02491947232325,-0.15592356739495947,descriptive only
Feature OOD <=95th percentile,Sn-only,PCE,Development-selected policy,76,13,0.1978076581748428,2.037543479264639,2.4151505116031977,-0.7286883039613007,descriptive only
Feature OOD <=95th percentile,Sn-only,Voc,Development-selected policy,76,13,-0.3665464702616863,0.1633829828170344,0.19659583131125855,-0.0495546812061083,descriptive only
Feature OOD <=95th percentile,Sn-only,Jsc,Development-selected policy,76,13,0.32357844102110356,3.6023279430593647,4.833409802007651,-0.14426013967305845,descriptive only
Feature OOD <=95th percentile,Sn-only,FF,Development-selected policy,76,13,0.5050524849656752,7.83929546712702,11.02491947232325,-0.15592356739495947,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,PCE,Frozen global,80,19,-0.380785579144832,4.095239410135714,4.935484370326489,-2.6143123542339133,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Voc,Frozen global,80,19,0.22305888567202437,0.07919774277135674,0.12292324519522237,-0.012583412430809132,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Jsc,Frozen global,80,19,-0.11268492943132347,4.443414198547233,5.549956493759327,-2.9011596605057814,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,FF,Frozen global,80,19,-0.7333909683425512,7.115086970334398,8.491178093947006,-4.701219773565223,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,PCE,Subgroup calibrator,80,19,-0.380785579144832,4.095239410135714,4.935484370326489,-2.6143123542339133,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Voc,Subgroup calibrator,80,19,0.22305888567202437,0.07919774277135674,0.12292324519522237,-0.012583412430809132,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Jsc,Subgroup calibrator,80,19,-0.11268492943132347,4.443414198547233,5.549956493759327,-2.9011596605057814,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,FF,Subgroup calibrator,80,19,-0.7333909683425512,7.115086970334398,8.491178093947006,-4.701219773565223,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,PCE,Domain expert,80,19,-0.8315749461099884,4.63551234012743,5.684326388242979,-3.4470006454934663,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Voc,Domain expert,80,19,-0.26000064210729557,0.09983124513231986,0.15654000679485908,-0.04532269511706286,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Jsc,Domain expert,80,19,-0.1460043054440412,4.670803404338207,5.632440341308236,-3.289007497167398,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,FF,Domain expert,80,19,-1.221701276051895,8.014840416851982,9.613079134193377,-5.855327907877185,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,PCE,Convex mixture,80,19,-0.380785579144832,4.095239410135714,4.935484370326489,-2.6143123542339133,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Voc,Convex mixture,80,19,0.22305888567202437,0.07919774277135674,0.12292324519522237,-0.012583412430809132,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Jsc,Convex mixture,80,19,-0.11268492943132347,4.443414198547233,5.549956493759327,-2.9011596605057814,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,FF,Convex mixture,80,19,-0.7333909683425512,7.115086970334398,8.491178093947006,-4.701219773565223,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,PCE,Development-selected policy,80,19,-0.380785579144832,4.095239410135714,4.935484370326489,-2.6143123542339133,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Voc,Development-selected policy,80,19,0.22305888567202437,0.07919774277135674,0.12292324519522237,-0.012583412430809132,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,Jsc,Development-selected policy,80,19,-0.11268492943132347,4.443414198547233,5.549956493759327,-2.9011596605057814,descriptive only
Feature OOD <=95th percentile,Mixed Pb-Sn,FF,Development-selected policy,80,19,-0.7333909683425512,7.115086970334398,8.491178093947006,-4.701219773565223,descriptive only
Feature OOD >95th percentile,Sn-only,PCE,Frozen global,79,22,0.2181150538774389,1.9729007433389791,2.4793818260749747,-0.9563431336093039,supported
Feature OOD >95th percentile,Sn-only,Voc,Frozen global,79,22,-0.08610200705549231,0.11158997373570241,0.1424181502222568,-0.060739697173175754,supported
Feature OOD >95th percentile,Sn-only,Jsc,Frozen global,79,22,0.016175455982703202,5.424282338889048,7.107548845333351,-1.9669521370774654,supported
Feature OOD >95th percentile,Sn-only,FF,Frozen global,79,22,0.3408854135974906,9.259854838084093,10.901002623168537,-0.9361855573626005,supported
Feature OOD >95th percentile,Sn-only,PCE,Subgroup calibrator,79,22,0.2181150538774389,1.9729007433389791,2.4793818260749747,-0.9563431336093039,supported
Feature OOD >95th percentile,Sn-only,Voc,Subgroup calibrator,79,22,-0.08610200705549231,0.11158997373570241,0.1424181502222568,-0.060739697173175754,supported
Feature OOD >95th percentile,Sn-only,Jsc,Subgroup calibrator,79,22,0.016175455982703202,5.424282338889048,7.107548845333351,-1.9669521370774654,supported
Feature OOD >95th percentile,Sn-only,FF,Subgroup calibrator,79,22,0.3408854135974906,9.259854838084093,10.901002623168537,-0.9361855573626005,supported
Feature OOD >95th percentile,Sn-only,PCE,Domain expert,79,22,0.09734745723534521,2.155881303087835,2.663988174362018,-0.9525389872528588,supported
