scheme,reference_condition,candidate_condition,target,evaluation_lens,records,DOI_groups,reference_R2,candidate_R2,delta_R2_candidate_minus_reference,reference_MAE,candidate_MAE,MAE_change_percent_candidate_vs_reference,reference_RMSE,candidate_RMSE,RMSE_change_percent_candidate_vs_reference,reference_R2_CI_low,reference_R2_CI_high,candidate_R2_CI_low,candidate_R2_CI_high,delta_R2_candidate_minus_reference_CI_low,delta_R2_candidate_minus_reference_CI_high,reference_MAE_CI_low,reference_MAE_CI_high,candidate_MAE_CI_low,candidate_MAE_CI_high,MAE_change_percent_candidate_vs_reference_CI_low,MAE_change_percent_candidate_vs_reference_CI_high,reference_RMSE_CI_low,reference_RMSE_CI_high,candidate_RMSE_CI_low,candidate_RMSE_CI_high,RMSE_change_percent_candidate_vs_reference_CI_low,RMSE_change_percent_candidate_vs_reference_CI_high
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,Jsc,Publication-balanced,9116,1735,0.4995337776668398,0.4995337776668398,0.0,2.676871855645823,2.6768718556458233,2.220446049250313e-14,3.6948132612548936,3.6948132612548936,0.0,0.4501775015684142,0.5437370466545611,0.4501775015684142,0.5437370466545611,-1.1102230246251565e-16,2.220446049250313e-16,2.5848155725025337,2.777546007109741,2.584815572502534,2.7775460071097404,-4.440892098500626e-14,4.440892098500626e-14,3.542335319123156,3.8593341828787566,3.5423353191231564,3.859334182878756,-2.220446049250313e-14,2.220446049250313e-14
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,FF,Device-level,9116,1735,0.17735143613978022,0.17735143613978033,1.1102230246251565e-16,7.748832059540273,7.748832059540273,0.0,10.353597700730361,10.35359770073036,-2.220446049250313e-14,0.13082221046632758,0.22809394586068785,0.13082221046632758,0.22809394586068785,-1.1102230246251565e-16,2.220446049250313e-16,7.4943176726560266,8.018237840261042,7.494317672656026,8.018237840261042,-2.220446049250313e-14,2.220446049250313e-14,9.966639689381251,10.737223439899669,9.966639689381251,10.737223439899669,-2.220446049250313e-14,2.220446049250313e-14
Chronological >2018,Random Forest | Full DOI,Random Forest | Full DOI + recency,FF,Publication-balanced,9116,1735,0.1741975687182281,0.1741975687182281,0.0,7.801343018130776,7.801343018130777,2.220446049250313e-14,10.310361849360524,10.310361849360524,0.0,0.12315024139641051,0.21787346349224143,0.12315024139641062,0.21787346349224154,-1.1102230246251565e-16,3.3306690738754696e-16,7.563109487899613,8.048706866145933,7.563109487899613,8.048706866145933,-2.220446049250313e-14,2.220446049250313e-14,9.968464679749102,10.683725766582535,9.968464679749102,10.683725766582535,-2.220446049250313e-14,0.0
Chronological >2018,CatBoost | Full DOI,CatBoost | Full DOI + recency,PCE,Device-level,9116,1735,0.44521061661837125,0.4445161175245901,-0.0006944990937811646,3.023928589163111,3.024127011291847,0.0065617332845491205,3.8973722483443125,3.8998108989567677,0.06257166257319646,0.39763546617123435,0.4949497468506448,0.3964597496337991,0.4931580013273245,-0.005082308207004835,0.003664069528276455,2.9169019548966233,3.127832996869212,2.918073663331986,3.1293700885131197,-0.44832545870277934,0.44686322171168186,3.7663412975051496,4.033628292172886,3.769405206367124,4.0380856568231955,-0.3321989746204654,0.4708894154085202
Chronological >2018,CatBoost | Full DOI,CatBoost | Full DOI + recency,PCE,Publication-balanced,9116,1735,0.4429190021708077,0.4434606658800827,0.0005416637092749976,3.0247384261966004,3.0189792521768704,-0.1904023822308476,3.8776669352253297,3.875781300750509,-0.04862806698768818,0.4011356963346468,0.4784382876069039,0.4018490853271434,0.4783468598446236,-0.003115860825305777,0.004318549995128817,2.939648102350145,3.1219141560452486,2.9317467072395123,3.1157072589575843,-0.6231752130581233,0.19763869414767368,3.7588900191643537,4.008882130668609,3.758513540497247,4.007863159859152,-0.39026793642470387,0.2808129792161317
Chronological >2018,CatBoost | Full DOI,CatBoost | Full DOI + recency,Voc,Device-level,9116,1735,0.5072804533080428,0.5050804798567792,-0.0021999734512636593,0.07976340235015154,0.08012408781944952,0.4521941876483693,0.11617336363915169,0.11643242953759282,0.22299939532250956,0.44242599961745677,0.5667944111067554,0.44001124738143566,0.5645004861912305,-0.007513804452142928,0.0032538755227686936,0.07621380835293684,0.0832182325111036,0.07662238201468637,0.0834246666786806,-0.17672190650691727,1.1150257353018511,0.10976517624879477,0.12223339855772204,0.11008961035660814,0.12247918934167366,-0.34296611727334114,0.7550203015851681
Chronological >2018,CatBoost | Full DOI,CatBoost | Full DOI + recency,Voc,Publication-balanced,9116,1735,0.5115736426505177,0.5114483439306678,-0.00012529871984989782,0.08031190113754318,0.0804271545163598,0.1435072226957379,0.11516952793245527,0.1151842995237373,0.012825954527384553,0.45705896714944083,0.5598275809631952,0.45805018004508813,0.559979961748065,-0.004996507174165413,0.005121026513685735,0.07738270158837432,0.08356410178250386,0.07755278509947058,0.08362116575913094,-0.4174045272947885,0.6594450560391152,0.110294605805756,0.12081666894606048,0.11027562935753281,0.12064487132680682,-0.5373407299517652,0.5284753859517792
Chronological >2018,CatBoost | Full DOI,CatBoost | Full DOI + recency,Jsc,Device-level,9116,1735,0.538598872027417,0.5423750708119934,0.0037761987845764677,2.5538219339072863,2.5429265651089867,-0.4266299327153944,3.6020191697363613,3.5872490659131717,-0.4100506723363928,0.4839751550984996,0.593514609519093,0.489858890819792,0.5949263614633549,-2.9023962585195125e-05,0.008210144790383374,2.4463943378595037,2.664315284534257,2.435805533956498,2.648780114061903,-1.0004601023477344,0.11066181534046479,3.4378992514630577,3.7684170844226665,3.424218428495521,3.7561219370503385,-0.8691665811564377,0.0029473091213372163
Chronological >2018,CatBoost | Full DOI,CatBoost | Full DOI + recency,Jsc,Publication-balanced,9116,1735,0.5273002736555501,0.5325898769443187,0.005289603288768596,2.5842628110539567,2.57413360856935,-0.3919571353687479,3.5908542973285154,3.570706590189983,-0.5610839502321663,0.4760144341538493,0.5727071239057823,0.4818094257224124,0.5780800260888341,0.001167759504744248,0.009432577488194179,2.4890578040418427,2.676428302333956,2.477547059303983,2.6626471807319376,-0.8825356140981396,0.1381843194059405,3.4269054528610696,3.7567643408029494,3.406912969220958,3.7364551989735166,-0.9984470586950913,-0.12318855028150001
Chronological >2018,CatBoost | Full DOI,CatBoost | Full DOI + recency,FF,Device-level,9116,1735,0.21943398311984397,0.21759666692071433,-0.001837316199129635,7.408870946433606,7.400153359309935,-0.11766417834376819,10.085302613952093,10.097165158725794,0.11762210047410182,0.1714146076777045,0.2637160531547115,0.17068535695746695,0.2606187223917781,-0.008226982572742614,0.003872106969379077,7.129418174578027,7.6917632104781815,7.1184265205263015,7.680704150709622,-0.5436597799840434,0.33948303112341705,9.680580681842786,10.508253039685465,9.686629185582376,10.5115910047526,-0.24439535054097267,0.5250489991933949
