context,condition,candidate,iterations,encoded_features,train_records,test_records,train_DOI,test_DOI,recency_lambda,weight_min,weight_max,weight_effective_N,DOI_total_weight_CV,fit_seconds
rolling_2018,Random Forest rolling selection,frozen RF config,120,743,15907,8152,3133,1500,0.0,0.04266590134298213,5.077242259814874,8792.590250151057,,10.182685756000865
rolling_2018,CatBoost rolling selection,depth8_lr0.04_l2-10,697,743,15907,8152,3133,1500,0.0,0.04266590134298213,5.077242259814874,8792.590250151057,8.839691866517125e-18,23.704394615000638
rolling_2018,Random Forest rolling selection,frozen RF config,120,743,15907,8152,3133,1500,0.025,0.04376731651227282,5.208310664960466,8803.743295917422,,10.842135167000379
rolling_2018,CatBoost rolling selection,depth8_lr0.04_l2-10,697,743,15907,8152,3133,1500,0.025,0.04376731651227282,5.208310664960466,8803.743295917422,0.02598179530844551,24.33640278099847
rolling_2018,Random Forest rolling selection,frozen RF config,120,743,15907,8152,3133,1500,0.05,0.0448668770323921,5.33915836685466,8802.980806011672,,10.725848679998307
rolling_2018,CatBoost rolling selection,depth8_lr0.04_l2-10,697,743,15907,8152,3133,1500,0.05,0.0448668770323921,5.33915836685466,8802.980806011672,0.05139756636284844,23.986161079999874
rolling_2018,Random Forest rolling selection,frozen RF config,120,743,15907,8152,3133,1500,0.1,0.04705708174336595,5.599792727460549,8768.979620293576,,10.64635227799954
rolling_2018,CatBoost rolling selection,depth8_lr0.04_l2-10,697,743,15907,8152,3133,1500,0.1,0.04705708174336595,5.599792727460549,8768.979620293576,0.1006296301834252,23.5336990470023
rolling_2018,Random Forest rolling selection,frozen RF config,120,743,15907,8152,3133,1500,0.15,0.04923008149711111,5.858379698156222,8697.173743716658,,9.969284560000233
rolling_2018,CatBoost rolling selection,depth8_lr0.04_l2-10,697,743,15907,8152,3133,1500,0.15,0.04923008149711111,5.858379698156222,8697.173743716658,0.14786225080384857,23.44965157900151
rolling_2018,Random Forest rolling selection,frozen RF config,120,743,15907,8152,3133,1500,0.2,0.05137991345880189,6.114209701597425,8594.06039154134,,10.469738552998024
rolling_2018,CatBoost rolling selection,depth8_lr0.04_l2-10,697,743,15907,8152,3133,1500,0.2,0.05137991345880189,6.114209701597425,8594.06039154134,0.1932241875989367,23.826961932001723
rolling_2018,Random Forest rolling selection,frozen RF config,120,743,15907,8152,3133,1500,0.3,0.051047536679662546,6.61506883124175,8318.177466855132,,10.41961615800028
rolling_2018,CatBoost rolling selection,depth8_lr0.04_l2-10,697,743,15907,8152,3133,1500,0.3,0.051047536679662546,6.61506883124175,8318.177466855132,0.2787359243970986,24.13288484899749
chronological_final,Random Forest | Full DOI + recency,frozen RF config,120,960,24059,9116,4633,1735,0.0,0.04363834892903848,5.19296352255558,13403.017473636039,,21.230287514998054
chronological_final,CatBoost | Full DOI + recency,depth6_lr0.10_l2-20,446,960,24059,9116,4633,1735,0.025,0.04402673089739133,5.371811474666291,13435.645231193892,0.03177200528697882,7.354861167001218
