comparison_type,target,unit,domain_type,domain,comparison,metric,estimate,CI_low,CI_high,CI_excludes_zero,domain_DOI,reference_DOI,inferential_eligible
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,bias,-1.3735838036534116,-1.563025792052468,-1.185825736144017,True,159,159,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,RMSE,0.7106157062529026,0.5358646895609113,0.888021521154927,True,159,159,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,R2,-0.32706671827208555,-0.4408035873284811,-0.23322914587955235,True,159,159,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,mean_feature_OOD_percentile,0.04452113340939168,0.032464737484485945,0.05673232629161674,True,159,159,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,high_feature_OOD_fraction,0.19319369522548796,0.13546451830287215,0.2558854215702063,True,159,159,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,coverage_90,0.013295008522533514,-0.004020626999734558,0.02977915036738576,False,159,159,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb (no Sn),chronological - DOI-grouped,interval_90_mean_width,2.2536161315103946,1.8841062298866627,2.6348347050311745,True,159,159,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,MAE,-0.7985369826040092,-0.7985369826040092,-0.7985369826040092,True,1,1,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,bias,-2.074437534153902,-2.074437534153902,-2.074437534153902,True,1,1,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A x B domain,Cs (no FA/MA) / Pb+Sn,chronological - DOI-grouped,RMSE,-1.2601662519902825,-1.260166251990283,-1.2601662519902825,True,1,1,False
