scheme,domain_type,domain,records,DOI,descriptive_eligible,inferential_eligible,mean_measured,mean_measured_CI_low,mean_measured_CI_high,mean_predicted,mean_predicted_CI_low,mean_predicted_CI_high,MAE,MAE_CI_low,MAE_CI_high,bias,bias_CI_low,bias_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high
Chronological >2018,A-site pattern,FA+MA+Cs,169,95,True,True,20.648280701754388,20.554834533734347,20.75239534980106,16.527262337077243,16.230693366168225,16.84912261214017,4.121018364677143,3.786922191003377,4.464899438600532,-4.121018364677143,-4.464899438600532,-3.786922191003377,4.481539159637428,4.093795256965336,4.86926767472951
Chronological >2018,A-site pattern,Other/unknown,1,1,False,False,24.82,,,9.501791411098,,,15.318208588902,,,-15.318208588902,,,15.318208588902,,
Chronological >2018,B-site pattern,Pb (no Sn),526,258,True,True,20.635628602842175,20.579931785655663,20.69753236397681,15.727028096013278,15.499748748586688,15.95381826031102,4.908600506828899,4.6715826836964265,5.1373963167144225,-4.908600506828899,-5.1373963167144225,-4.6715826836964265,5.307647944079395,5.038480174037788,5.565501952818813
Chronological >2018,B-site pattern,Pb+Sn,2,2,False,False,20.950000000000003,,,12.66401868865498,,,8.28598131134502,,,-8.28598131134502,,,8.289150962063278,,
Chronological >2018,B-site pattern,Other/unknown,1,1,False,False,24.82,,,9.501791411098,,,15.318208588902,,,-15.318208588902,,,15.318208588902,,
Chronological >2018,A x B domain,FA (no MA/Cs) / Pb (no Sn),39,8,True,False,20.757427631578945,20.279958333333333,21.27035803571428,12.718883837300607,11.845870819972207,13.59218937051753,8.03854379427834,7.06255681689521,9.040882206547861,-8.03854379427834,-9.040882206547861,-7.06255681689521,8.152706007251771,7.153147402807212,9.094380457057225
Chronological >2018,A x B domain,FA+Cs / Pb (no Sn),17,8,True,False,20.714916666666667,20.443270833333333,20.991684999999997,16.242092894378622,14.724690459160223,17.700131448331085,4.472823772288045,3.021957196917557,6.072527153112678,-4.472823772288045,-6.072527153112678,-3.021957196917558,4.9679136729990265,3.2559210904290214,6.4702631237046315
Chronological >2018,A x B domain,FA+MA / Pb (no Sn),186,80,True,True,20.80644704968944,20.686705296210032,20.9368022544014,16.18400024085389,15.8596449040508,16.499263145387783,4.62244680883555,4.304889410935024,4.95202635779422,-4.62244680883555,-4.95202635779422,-4.304889410935024,4.854624675800842,4.536768533490976,5.188147638150244
Chronological >2018,A x B domain,FA+MA / Pb+Sn,1,1,False,False,21.1,,,12.584808348758122,,,8.51519165124188,,,-8.51519165124188,,,8.51519165124188,,
Chronological >2018,A x B domain,FA+MA+Cs / Pb (no Sn),168,94,True,True,20.64666666666667,20.55273783969728,20.75235136916836,16.567518010572194,16.273638093467163,16.871883416743067,4.079148656094472,3.7366890973572158,4.410562596870872,-4.079148656094472,-4.410562596870872,-3.7366890973572158,4.428013818297533,4.038048329989845,4.786732755447241
Chronological >2018,A x B domain,FA+MA+Cs / Pb+Sn,1,1,False,False,20.8,,,12.74322902855184,,,8.056770971448161,,,-8.056770971448161,,,8.056770971448161,,
Chronological >2018,A x B domain,MA (no FA/Cs) / Pb (no Sn),115,74,True,True,20.45457754182754,20.36947659043442,20.535763854679807,14.449471555692753,13.976553244318069,14.912770706728754,6.0051059861347875,5.540003743655118,6.485907967539582,-6.0051059861347875,-6.485907967539582,-5.540003743655118,6.35742857367164,5.827964340548686,6.896058249237835
Chronological >2018,A x B domain,MA+Cs / Pb (no Sn),1,1,False,False,20.46,,,15.632538552058142,,,4.827461447941859,,,-4.827461447941859,,,4.827461447941859,,
Chronological >2018,A x B domain,Other/unknown / Other/unknown,1,1,False,False,24.82,,,9.501791411098,,,15.318208588902,,,-15.318208588902,,,15.318208588902,,
